Type,Minimum_Value,Maximum_Value,Mean_Value,Median_Value,Mode_Value,SD_Value
Strelka_Normal_0.3,1,299,64.20020550538099,61.0,"0    43
dtype: int64",33.91573948021692
Strelka_Tumor_0.3,0,114,22.866583743442757,22.0,"0    17
dtype: int64",12.519405946850574
Strelka_Normal_0.5,1,299,66.8779301802835,65.0,"0    49
dtype: int64",34.29469589110547
Strelka_Tumor_0.5,0,114,23.837698977017293,23.0,"0    17
dtype: int64",12.706049751701704
Strelka_Normal_0.7,1,299,66.8779301802835,65.0,"0    49
dtype: int64",34.29469589110547
Strelka_Tumor_0.7,0,114,23.837698977017293,23.0,"0    17
dtype: int64",12.706049751701704
