Type,Minimum_Value,Maximum_Value,Mean_Value,Median_Value,Mode_Value,SD_Value
VarScan_Normal_0.3,8,250,57.63991130820399,55.0,"0    38
dtype: int64",25.85902002565503
VarScan_Tumor_0.3,8,98,20.825072488487123,20.0,"0    11
dtype: int64",9.324227670928474
VarScan_Normal_0.5,8,250,57.60628819171816,55.0,"0    38
dtype: int64",25.833813469908574
VarScan_Tumor_0.5,8,98,20.808042877137883,20.0,"0    11
dtype: int64",9.306411785659249
VarScan_Normal_0.7,8,250,57.48974974288653,55.0,"0    38
dtype: int64",25.78638970803012
VarScan_Tumor_0.7,8,98,20.74977716832362,19.0,"0    11
dtype: int64",9.272162983659369
